,lotSize,age,landValue,livingArea,pctCollege,bedrooms,fireplaces,bathrooms,rooms,fuel,waterfront,newConstruction,PriceCat
1,0.88,17,19400,1092,35,3,0,1,6,oil,No,No,1
2,1,12,8600,1056,35,3,0,1,7,electric,No,No,1
3,0.43,21,5600,1600,39,3,0,1.5,4,electric,No,No,1
4,0.32,1,6200,1576,39,3,0,2.5,7,gas,No,Yes,1
5,0.03,24,5100,2080,39,3,0,2,6,oil,No,No,1
6,0.36,16,5200,1600,39,3,0,1.5,4,electric,No,No,1
7,4,28,5500,2224,39,4,0,3,10,oil,No,No,2
8,1.83,126,6000,1656,39,3,0,1,6,oil,No,No,1
9,3,26,4500,1170,39,4,0,1.5,5,oil,No,No,1
10,0.43,53,2700,2461,39,4,1,2,10,oil,Yes,No,2
11,0.44,56,19400,1544,71,3,1,1.5,7,oil,No,No,1
12,1.24,51,24800,1220,71,2,2,1,4,oil,No,No,1
13,0.46,3,15200,1858,52,3,1,2.5,7,gas,No,No,1
14,0.87,9,41100,2219,64,3,1,2,8,gas,No,No,2
15,1.8,201,25500,1876,52,3,0,2.5,5,oil,No,No,2
16,0.46,1,15200,2026,52,4,1,2.5,6,gas,No,No,1
17,0.91,19,20200,1671,71,4,1,3,8,gas,No,No,1
18,0.46,1,15200,2060,52,4,1,2.5,7,gas,No,No,2
19,0.59,0,17300,1884,52,4,1,2.5,9,gas,No,No,1
20,7.24,43,36600,2022,71,4,2,3,6,gas,No,No,2
21,0.19,0,20700,2394,71,4,1,2.5,7,gas,No,No,2
22,0.46,45,20200,1390,71,3,1,1.5,6,gas,No,No,1
23,0.41,32,27100,1954,71,4,0,2.5,8,gas,No,No,1
24,0.78,54,24500,1554,71,3,1,1.5,5,oil,No,No,1
25,0.89,9,41600,1976,64,3,0,2.5,6,gas,No,No,2
26,1.34,0,44400,2479,71,4,1,2.5,10,gas,No,No,2
27,1,0,17100,2714,71,4,1,2.5,9,gas,No,No,2
28,1,98,15500,797,52,2,0,1,3,oil,No,No,1
29,0.27,54,8900,1500,71,3,0,2.5,7,gas,No,No,1
30,0.71,73,61000,1838,71,4,0,2,8,oil,Yes,No,2
31,0.9,48,19000,1042,71,2,1,2,3,gas,No,No,1
32,0.24,10,8000,1782,52,3,0,2.5,6,gas,No,No,1
33,0.06,16,1600,1480,52,2,1,2.5,5,gas,No,No,1
34,0.55,20,13800,1426,52,3,1,2,6,gas,No,No,1
35,0.34,32,11100,1404,52,3,0,2,5,gas,No,No,1
36,0.19,15,3400,1480,52,3,1,1.5,5,gas,No,No,1
37,0.23,135,8100,1344,52,3,0,1,5,gas,No,No,1
38,0.07,14,1800,1480,52,2,1,2.5,5,gas,No,No,1
39,0.09,15,2400,1480,52,3,1,1.5,7,gas,No,No,1
40,0.25,10,8400,1596,52,3,0,2.5,6,gas,No,No,1
41,0.47,15,27200,1768,52,3,1,2,5,electric,No,No,1
42,0.36,10,12100,1348,52,2,1,2,3,gas,No,No,1
43,0.07,14,1800,1480,52,3,1,1.5,8,gas,No,No,1
